year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2003;37830;28;7;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;26.61331429;20.91137143;23.76234286;25.5256;0;9.237227174;12.0726712;181.9636;12;5.478296667;7.559980833;633.4861;-208.3380478;-92.76420321;1710.16035;764.47385;209;64
2003;37816;14;7;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;24.84745714;18.87107143;21.85926429;22.2386;0;9.237227174;12.0726712;181.9636;12;5.478296667;7.559980833;633.4861;-160.3437444;-90.26789381;1446.548;556.7215;195;64
2003;37809;7;7;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;23.01271429;18.05348571;20.5331;21.8109;0;9.237227174;12.0726712;181.9636;12;5.478296667;7.559980833;633.4861;-134.6694652;-92.64176502;1325.91635;464.01985;188;64
2003;37805;3;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;24.82588571;20.00628571;22.41608571;20.294;0;9.237227174;12.0726712;181.9636;12;5.478296667;7.559980833;633.4861;-122.2045755;-96.34578272;1266.8073;420.8708;184;64
2003;37861;28;8;3543;44.21933;10.13413;1448;no;21429.00195;463.1273804;12.8983;4.98435;27.37505714;19.02111429;23.19808571;84.5418;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-329.1569189;-98.04451999;2181.12525;1227.105305;240;64
2003;37854;21;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;12.8983;4.98435;28.31025714;20.00514286;24.1577;76.8841;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-311.917303;-107.5680704;2055.4835;1129.393555;233;64
2003;37847;14;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;12.8983;4.98435;30.50237143;21.29912857;25.90075;76.1395;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-284.1222912;-112.5447451;1921.619;1023.459055;226;64
2003;37840;7;8;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;11.4219;4.83235;29.88627143;19.87941429;24.88284286;65.1532;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-264.1696919;-124.2042662;1777.87585;907.7805487;219;64
2003;37832;30;7;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;0;0;27.62321429;19.00968571;23.31645;51.6415;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-238.696999;-117.283791;1616.9601;781.2017;211;64
2003;37825;23;7;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;0;0;28.61345714;19.12158571;23.86752143;49.4339;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-209.6478522;-113.6100101;1489.89305;682.06465;204;64
2003;37819;17;7;3543;44.21933;10.13413;1448;inf;21429.00195;463.1273804;0;0;27.06;18.28697143;22.67348571;49.16;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-180.3153992;-102.3726813;1373.83345;589.94505;198;64
2003;37812;10;7;3543;44.21933;10.13413;1448;no;21429.00195;463.1273804;0;0;24.1702;16.50895714;20.33957857;47.2011;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-150.7574952;-97.64872611;1249.9417;493.9833;191;64
2003;37806;4;7;3543;44.21933;10.13413;1448;no;21429.00195;463.1273804;0;0;24.1201;17.44201429;20.78105714;46.2656;6;6.930505435;11.12080435;204.6438;35;2.718041667;5.403119167;532.894;-125.263854;-91.94598004;1152.3549;420.3365;185;64
2004;38229;30;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;22.9486;17.48208571;20.21534286;117.6501;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-88.93929181;-43.74411842;1988.8729;1013.9206;243;60
2004;38222;23;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;23.96128571;19.77687143;21.86907857;107.6272;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-80.32797026;-25.32174387;1883.08415;936.06185;236;60
2004;38215;16;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;24.76471429;19.86312857;22.31392143;90.4481;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-78.89031614;-50.11306622;1767.7323;848.64;229;60
